"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4255","1.8 Регистрация с паролем в 6 символов (граничное значение)","","Sat Aug 15 08:56:25 UTC 2026","passed","Sat Aug 15 08:56:30 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithSixSymbols"
"","2968","1.2 Авторизация с пустыми полями","","Sat Aug 15 08:57:08 UTC 2026","passed","Sat Aug 15 08:57:11 UTC 2026","","auto.tests.login.LoginTest","auto.tests.login.LoginTest","AuthorizationWithEmptyValue"
"","3283","1.3 Регистрация с несовпадающими паролями","","Sat Aug 15 08:56:55 UTC 2026","passed","Sat Aug 15 08:56:58 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithMismatchPasswords"
"","5009","1.2 Оформление заказа анонимом с условиями соглашения","","Sat Aug 15 08:56:09 UTC 2026","passed","Sat Aug 15 08:56:14 UTC 2026","","auto.tests.cart.CartTest","auto.tests.cart.CartTest","unknownWithCheckbox"
"","3321","1.3 Авторизация с неправильным паролем","","Sat Aug 15 08:57:01 UTC 2026","passed","Sat Aug 15 08:57:05 UTC 2026","","auto.tests.login.LoginTest","auto.tests.login.LoginTest","AuthorizationWithWrongPassword"
"","3434","1.4 Регистрация с некорректным email","","Sat Aug 15 08:56:44 UTC 2026","passed","Sat Aug 15 08:56:48 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithIncorrectEmail"
"","4204","1.11 Регистрация с email в верхнем регистре","","Sat Aug 15 08:56:50 UTC 2026","passed","Sat Aug 15 08:56:55 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithCapsInEmail"
"","3350","1.5 Регистрация без имени","","Sat Aug 15 08:56:41 UTC 2026","passed","Sat Aug 15 08:56:44 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithoutName"
"","3582","1.1 Оформление заказа аномимом без условий соглашения","","Sat Aug 15 08:56:15 UTC 2026","passed","Sat Aug 15 08:56:18 UTC 2026","","auto.tests.cart.CartTest","auto.tests.cart.CartTest","unknownWithoutCheckbox"
"","6423","1.4 Авторизация с неправильным email","","Sat Aug 15 08:57:14 UTC 2026","passed","Sat Aug 15 08:57:21 UTC 2026","","auto.tests.login.LoginTest","auto.tests.login.LoginTest","AuthorizationWithWrongEmail"
"","3948","1.3 Добавление дешевого компьютера в корзину анонимом","","Sat Aug 15 08:56:18 UTC 2026","passed","Sat Aug 15 08:56:22 UTC 2026","","auto.tests.cart.CartTest","auto.tests.cart.CartTest","cheapComputerToCard"
"","3380","1.7 Регистрация без email","","Sat Aug 15 08:56:38 UTC 2026","passed","Sat Aug 15 08:56:41 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithoutEmail"
"","3368","1.6 Регистрация без фамилии","","Sat Aug 15 08:56:58 UTC 2026","passed","Sat Aug 15 08:57:01 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithoutLastName"
"","6529","1.8 Авторизация с нажатием Forgot password, если email существует","","Sat Aug 15 08:57:27 UTC 2026","passed","Sat Aug 15 08:57:34 UTC 2026","","auto.tests.login.LoginTest","auto.tests.login.LoginTest","AuthorizationWithValidEmailInForgotPassword"
"","3199","1.6 Авторизация с пустым паролем","","Sat Aug 15 08:57:34 UTC 2026","passed","Sat Aug 15 08:57:37 UTC 2026","","auto.tests.login.LoginTest","auto.tests.login.LoginTest","AuthorizationWithEmptyPassword"
"","3372","1.9 Регистрация с паролем в 5 символов","","Sat Aug 15 08:56:30 UTC 2026","passed","Sat Aug 15 08:56:33 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithFiveSymbols"
"","3581","1.7 Авторизация с нажатием Forgot password, если email не существует","","Sat Aug 15 08:57:11 UTC 2026","passed","Sat Aug 15 08:57:14 UTC 2026","","auto.tests.login.LoginTest","auto.tests.login.LoginTest","AuthorizationWithInvalidEmailInForgotPassword"
"","2665","1.2 Регистрация с пустыми полями","","Sat Aug 15 08:56:48 UTC 2026","passed","Sat Aug 15 08:56:50 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithEmptyValue"
"","3097","1.5 Авторизация с пустым email","","Sat Aug 15 08:57:05 UTC 2026","passed","Sat Aug 15 08:57:08 UTC 2026","","auto.tests.login.LoginTest","auto.tests.login.LoginTest","AuthorizationWithEmptyEmail"
"","6471","1.1 Успешная авторизация","","Sat Aug 15 08:57:21 UTC 2026","passed","Sat Aug 15 08:57:27 UTC 2026","","auto.tests.login.LoginTest","auto.tests.login.LoginTest","SuccessAuthorization"
"","3321","1.10 Регистрация с пробелами в email","","Sat Aug 15 08:56:22 UTC 2026","passed","Sat Aug 15 08:56:25 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithSpaceInEmail"
"","4514","1.1 Успешная регистрация","","Sat Aug 15 08:56:33 UTC 2026","passed","Sat Aug 15 08:56:38 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","SuccessRegistration"
