"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3745","1.2 Авторизация с пустыми полями","","Sat Aug 15 08:56:32 UTC 2026","passed","Sat Aug 15 08:56:35 UTC 2026","","auto.tests.login.LoginTest","auto.tests.login.LoginTest","AuthorizationWithEmptyValue"
"","5198","1.1 Успешная регистрация","","Sat Aug 15 08:55:52 UTC 2026","passed","Sat Aug 15 08:55:57 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","SuccessRegistration"
"","4818","1.8 Регистрация с паролем в 6 символов (граничное значение)","","Sat Aug 15 08:55:44 UTC 2026","passed","Sat Aug 15 08:55:49 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithSixSymbols"
"","3319","1.2 Регистрация с пустыми полями","","Sat Aug 15 08:56:08 UTC 2026","passed","Sat Aug 15 08:56:12 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithEmptyValue"
"","3739","1.3 Регистрация с несовпадающими паролями","","Sat Aug 15 08:56:16 UTC 2026","passed","Sat Aug 15 08:56:20 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithMismatchPasswords"
"","3866","1.3 Авторизация с неправильным паролем","","Sat Aug 15 08:56:24 UTC 2026","passed","Sat Aug 15 08:56:28 UTC 2026","","auto.tests.login.LoginTest","auto.tests.login.LoginTest","AuthorizationWithWrongPassword"
"","4304","1.7 Авторизация с нажатием Forgot password, если email не существует","","Sat Aug 15 08:56:35 UTC 2026","passed","Sat Aug 15 08:56:40 UTC 2026","","auto.tests.login.LoginTest","auto.tests.login.LoginTest","AuthorizationWithInvalidEmailInForgotPassword"
"","7291","1.8 Авторизация с нажатием Forgot password, если email существует","","Sat Aug 15 08:56:55 UTC 2026","passed","Sat Aug 15 08:57:02 UTC 2026","","auto.tests.login.LoginTest","auto.tests.login.LoginTest","AuthorizationWithValidEmailInForgotPassword"
"","4026","1.10 Регистрация с пробелами в email","","Sat Aug 15 08:55:40 UTC 2026","passed","Sat Aug 15 08:55:44 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithSpaceInEmail"
"","7427","1.4 Авторизация с неправильным email","","Sat Aug 15 08:56:40 UTC 2026","passed","Sat Aug 15 08:56:47 UTC 2026","","auto.tests.login.LoginTest","auto.tests.login.LoginTest","AuthorizationWithWrongEmail"
"","4477","1.1 Оформление заказа аномимом без условий соглашения","","Sat Aug 15 08:55:30 UTC 2026","passed","Sat Aug 15 08:55:34 UTC 2026","","auto.tests.cart.CartTest","auto.tests.cart.CartTest","unknownWithoutCheckbox"
"","3701","1.5 Регистрация без имени","","Sat Aug 15 08:56:01 UTC 2026","passed","Sat Aug 15 08:56:05 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithoutName"
"","3779","1.6 Авторизация с пустым паролем","","Sat Aug 15 08:57:02 UTC 2026","passed","Sat Aug 15 08:57:06 UTC 2026","","auto.tests.login.LoginTest","auto.tests.login.LoginTest","AuthorizationWithEmptyPassword"
"","3567","1.7 Регистрация без email","","Sat Aug 15 08:55:57 UTC 2026","passed","Sat Aug 15 08:56:01 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithoutEmail"
"","11706","1.2 Оформление заказа анонимом с условиями соглашения","","Sat Aug 15 08:55:18 UTC 2026","passed","Sat Aug 15 08:55:30 UTC 2026","","auto.tests.cart.CartTest","auto.tests.cart.CartTest","unknownWithCheckbox"
"","5483","1.3 Добавление дешевого компьютера в корзину анонимом","","Sat Aug 15 08:55:34 UTC 2026","passed","Sat Aug 15 08:55:40 UTC 2026","","auto.tests.cart.CartTest","auto.tests.cart.CartTest","cheapComputerToCard"
"","3513","1.9 Регистрация с паролем в 5 символов","","Sat Aug 15 08:55:49 UTC 2026","passed","Sat Aug 15 08:55:52 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithFiveSymbols"
"","7444","1.1 Успешная авторизация","","Sat Aug 15 08:56:47 UTC 2026","passed","Sat Aug 15 08:56:55 UTC 2026","","auto.tests.login.LoginTest","auto.tests.login.LoginTest","SuccessAuthorization"
"","3846","1.4 Регистрация с некорректным email","","Sat Aug 15 08:56:05 UTC 2026","passed","Sat Aug 15 08:56:08 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithIncorrectEmail"
"","3702","1.6 Регистрация без фамилии","","Sat Aug 15 08:56:20 UTC 2026","passed","Sat Aug 15 08:56:24 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithoutLastName"
"","3849","1.5 Авторизация с пустым email","","Sat Aug 15 08:56:28 UTC 2026","passed","Sat Aug 15 08:56:32 UTC 2026","","auto.tests.login.LoginTest","auto.tests.login.LoginTest","AuthorizationWithEmptyEmail"
"","4747","1.11 Регистрация с email в верхнем регистре","","Sat Aug 15 08:56:12 UTC 2026","passed","Sat Aug 15 08:56:16 UTC 2026","","auto.tests.registration.RegistrationTest","auto.tests.registration.RegistrationTest","RegistrationWithCapsInEmail"
